# Acesta este un export al documentului cu Statistica Pe Candidați de
# pe site-ul BEC oficial, de aici http://www.becparlamentare2012.ro/statistici%20rezultate%20finale.html
#
# Acest fișier este folosit de results_2012_import.php pentru a asocia
# un număr de voturi cu fiecare candidat în parte și a le adăuga în baza
# noastră de date în tabelele proprii.
#
# NUME,NumeCompetitor,Nr circumscriptie,Nume circ,Colegiu senat,Colegiu Deputati,Total voturi pe colegiu,Total alegatori prezenti,Voturi Obtinute de candidat,Mandat Atribuit,Procent
#
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,19,GIURGIU,,1,25166,26181,20,0,0.08%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,19,GIURGIU,,1,25166,26181,23,0,0.09%
GYŐRGY CSABA-MIHAI,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,19,GIURGIU,,1,25166,26181,63,0,0.25%
TEODOR CRISTIAN,ALIANŢA ROMÂNIA DREAPTĂ,19,GIURGIU,,1,25166,26181,1549,0,6.16%
HÎNCU LAURA,PARTIDUL ECOLOGIST ROMÂN,19,GIURGIU,,1,25166,26181,271,0,1.08%
CUC ALEXANDRU-RĂZVAN,PARTIDUL POPORULUI - DAN DIACONESCU,19,GIURGIU,,1,25166,26181,4619,0,18.35%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,19,GIURGIU,,1,25166,26181,24,0,0.10%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,19,GIURGIU,,1,25166,26181,25,0,0.10%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,19,GIURGIU,,1,25166,26181,14,0,0.06%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,19,GIURGIU,,1,25166,26181,28,0,0.11%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,19,GIURGIU,,1,25166,26181,30,0,0.12%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,19,GIURGIU,,1,25166,26181,42,0,0.17%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,19,GIURGIU,,1,25166,26181,14,0,0.06%
BARBU VASILE MIHAIL,ALIANŢA ROMÂNIA DREAPTĂ,19,GIURGIU,,2,33065,34437,1127,0,3.41%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",19,GIURGIU,,2,33065,34437,86,0,0.26%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,53,0,0.16%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,23,0,0.07%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,19,0,0.06%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,26,0,0.08%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,32,0,0.10%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,38,0,0.11%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,37,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,27,0,0.08%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,19,GIURGIU,,2,33065,34437,36,0,0.11%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,41,0,0.12%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,76,0,0.23%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,35,0,0.11%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,51,0,0.15%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,65,0,0.20%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,48,0,0.15%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,19,GIURGIU,,2,33065,34437,11,0,0.03%
ANTON MARIN,UNIUNEA SOCIAL LIBERALĂ,19,GIURGIU,,2,33065,34437,26666,1,80.65%
SZENTE FERENC,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,42,0,0.13%
VELICU FLORIAN,PARTIDUL POPORULUI - DAN DIACONESCU,19,GIURGIU,,2,33065,34437,4236,0,12.81%
TRUŞCĂ MIHAI,PARTIDUL ROMÂNIA MARE,19,GIURGIU,,2,33065,34437,275,0,0.83%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,19,GIURGIU,,2,33065,34437,15,0,0.05%
TEODORESCU IOAN VIOREL,UNIUNEA SOCIAL LIBERALĂ,19,GIURGIU,,3,27451,28802,14348,1,52.27%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",19,GIURGIU,,3,27451,28802,79,0,0.29%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,43,0,0.16%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,96,0,0.35%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,13,0,0.05%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,86,0,0.31%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,31,0,0.11%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,42,0,0.15%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,19,GIURGIU,,3,27451,28802,21,0,0.08%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,13,0,0.05%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,19,GIURGIU,,3,27451,28802,58,0,0.21%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,33,0,0.12%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,18,0,0.07%
SZŐCS PÉTER-LEVENTE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,60,0,0.22%
CANTARAGIU BOGDAN,ALIANŢA ROMÂNIA DREAPTĂ,19,GIURGIU,,3,27451,28802,6870,0,25.03%
CIOBANU LILIANA,PARTIDUL POPORULUI - DAN DIACONESCU,19,GIURGIU,,3,27451,28802,5043,1,18.37%
TEODORESCU VALERIU,PARTIDUL ROMÂNIA MARE,19,GIURGIU,,3,27451,28802,287,0,1.05%
ŞTEFAN GHEORGHE,PARTIDUL POPULAR,19,GIURGIU,,3,27451,28802,129,0,0.47%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,58,0,0.21%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,19,0,0.07%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,20,0,0.07%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,32,0,0.12%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,17,0,0.06%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,19,GIURGIU,,3,27451,28802,35,0,0.13%
BUDACU GEORGE-ADRIAN,PARTIDUL ROMÂNIA MARE,19,GIURGIU,,4,24597,25696,165,0,0.67%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,15,0,0.06%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,19,GIURGIU,,4,24597,25696,23,0,0.09%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,19,GIURGIU,,4,24597,25696,37,0,0.15%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,44,0,0.18%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,19,0,0.08%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,23,0,0.09%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,43,0,0.17%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,18,0,0.07%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,7,0,0.03%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,47,0,0.19%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",19,GIURGIU,,4,24597,25696,44,0,0.18%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,28,0,0.11%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,29,0,0.12%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,20,0,0.08%
MARCOŞANU NICULAE FLORENTIN,PARTIDUL POPORULUI - DAN DIACONESCU,19,GIURGIU,,4,24597,25696,3373,0,13.71%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,42,0,0.17%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,7,0,0.03%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,20,0,0.08%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,33,0,0.13%
CHIŢOIU DANIEL,UNIUNEA SOCIAL LIBERALĂ,19,GIURGIU,,4,24597,25696,19217,1,78.13%
STIER PETER-GABRIEL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,19,GIURGIU,,4,24597,25696,26,0,0.11%
TOMA IOANA,ALIANŢA ROMÂNIA DREAPTĂ,19,GIURGIU,,4,24597,25696,1317,0,5.35%
BĂDĂLĂU NICULAE,UNIUNEA SOCIAL LIBERALĂ,19,GIURGIU,1,,58087,60618,41400,1,71.27%
TITTESZ ZOLTÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,19,GIURGIU,1,,58087,60618,169,0,0.29%
NEAGU MIHAI,ALIANŢA ROMÂNIA DREAPTĂ,19,GIURGIU,1,,58087,60618,4013,0,6.91%
CIOBANU GEORGE-DANIEL,PARTIDUL POPORULUI - DAN DIACONESCU,19,GIURGIU,1,,58087,60618,11278,0,19.42%
ROMAN IRINEL,PARTIDUL ROMÂNIA MARE,19,GIURGIU,1,,58087,60618,1227,0,2.11%
CĂPÂLNAŞ GAVRIL-EMIL,PARTIDUL ROMÂNIA MARE,19,GIURGIU,2,,52315,54498,621,0,1.19%
ILIESCU LUCIAN,UNIUNEA SOCIAL LIBERALĂ,19,GIURGIU,2,,52315,54498,36028,1,68.87%
NAGY GHIZELA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,19,GIURGIU,2,,52315,54498,145,0,0.28%
FIŢA DANIEL ALEXANDRU,ALIANŢA ROMÂNIA DREAPTĂ,19,GIURGIU,2,,52315,54498,6280,0,12.00%
HIDEG ROBERTINO-CĂTĂLIN,PARTIDUL POPORULUI - DAN DIACONESCU,19,GIURGIU,2,,52315,54498,9241,0,17.66%
POENAR IOAN,PARTIDUL ROMÂNIA MARE,22,HUNEDOARA,,1,22159,22932,1324,0,5.97%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,11,0,0.05%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,36,0,0.16%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,53,0,0.24%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,22,HUNEDOARA,,1,22159,22932,23,0,0.10%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,17,0,0.08%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,19,0,0.09%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,72,0,0.32%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,4,0,0.02%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,11,0,0.05%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",22,HUNEDOARA,,1,22159,22932,32,0,0.14%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,5,0,0.02%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,22,HUNEDOARA,,1,22159,22932,54,0,0.24%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,42,0,0.19%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,18,0,0.08%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,74,0,0.33%
BORCA TIBERIU-MIRCEA,ALIANŢA ROMÂNIA DREAPTĂ,22,HUNEDOARA,,1,22159,22932,2688,0,12.13%
NISTOR LAURENŢIU,UNIUNEA SOCIAL LIBERALĂ,22,HUNEDOARA,,1,22159,22932,14220,1,64.17%
DEZMERI ŞTEFAN-IOAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,143,0,0.65%
IUGA ADRIAN-GHEORGHE,PARTIDUL ALIANŢA SOCIALISTĂ,22,HUNEDOARA,,1,22159,22932,258,0,1.16%
DRAIA DANIEL-OVIDIU,PARTIDUL POPORULUI - DAN DIACONESCU,22,HUNEDOARA,,1,22159,22932,2978,0,13.44%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,32,0,0.14%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,19,0,0.09%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,22,HUNEDOARA,,1,22159,22932,26,0,0.12%
DĂLIE PETRU,PARTIDUL ALIANŢA SOCIALISTĂ,22,HUNEDOARA,,2,22379,23158,251,0,1.12%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,4,0,0.02%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,2,0,0.01%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,13,0,0.06%
POPA GHEORGHE-GABRIEL,NULL,22,HUNEDOARA,,2,22379,23158,2440,0,10.90%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,15,0,0.07%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,63,0,0.28%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,22,HUNEDOARA,,2,22379,23158,27,0,0.12%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,19,0,0.08%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,20,0,0.09%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,116,0,0.52%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,29,0,0.13%
ANGHEL MARIANA,PARTIDUL ROMÂNIA MARE,22,HUNEDOARA,,2,22379,23158,938,0,4.19%
ANDRONIE IONEL,PARTIDUL POPORULUI - DAN DIACONESCU,22,HUNEDOARA,,2,22379,23158,2719,0,12.15%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,10,0,0.04%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,2,0,0.01%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,8,0,0.04%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,12,0,0.05%
INTOTERO NATALIA-ELENA,UNIUNEA SOCIAL LIBERALĂ,22,HUNEDOARA,,2,22379,23158,12729,1,56.88%
FERENCZI ISTVÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,254,0,1.13%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",22,HUNEDOARA,,2,22379,23158,128,0,0.57%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,22,HUNEDOARA,,2,22379,23158,20,0,0.09%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,21,0,0.09%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,22,HUNEDOARA,,2,22379,23158,12,0,0.05%
BLAGA IOSIF-VENIAMIN,ALIANŢA ROMÂNIA DREAPTĂ,22,HUNEDOARA,,2,22379,23158,2527,0,11.29%
POPA ADRIAN,ALIANŢA ROMÂNIA DREAPTĂ,22,HUNEDOARA,,3,23672,24365,2001,0,8.45%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,20,0,0.08%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,73,0,0.31%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,23,0,0.10%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,18,0,0.08%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,49,0,0.21%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,7,0,0.03%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,22,HUNEDOARA,,3,23672,24365,32,0,0.14%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,14,0,0.06%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,38,0,0.16%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,17,0,0.07%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",22,HUNEDOARA,,3,23672,24365,25,0,0.11%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,5,0,0.02%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,22,HUNEDOARA,,3,23672,24365,27,0,0.11%
TIRINESCU ION,PARTIDUL POPORULUI - DAN DIACONESCU,22,HUNEDOARA,,3,23672,24365,3096,0,13.08%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,43,0,0.18%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,10,0,0.04%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,16,0,0.07%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,32,0,0.14%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,78,0,0.33%
RUŞANU DAN-RADU,UNIUNEA SOCIAL LIBERALĂ,22,HUNEDOARA,,3,23672,24365,16285,1,68.79%
KOFITY ZOLTÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,22,HUNEDOARA,,3,23672,24365,398,0,1.68%
BURDEA TOADER,PARTIDUL ALIANŢA SOCIALISTĂ,22,HUNEDOARA,,3,23672,24365,286,0,1.21%
ANDRIONI ALIN-CONSTANTIN,PARTIDUL ROMÂNIA MARE,22,HUNEDOARA,,3,23672,24365,1079,0,4.56%
BENEDEKFI DAVID,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,618,0,2.84%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,8,0,0.04%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,22,HUNEDOARA,,4,21764,22517,19,0,0.09%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,22,HUNEDOARA,,4,21764,22517,14,0,0.06%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,9,0,0.04%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,19,0,0.09%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,31,0,0.14%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,11,0,0.05%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,5,0,0.02%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",22,HUNEDOARA,,4,21764,22517,74,0,0.34%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,42,0,0.19%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,21,0,0.10%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,19,0,0.09%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,28,0,0.13%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,10,0,0.05%
ŞCHIOPU IOAN-DOREL,PARTIDUL ROMÂNIA MARE,22,HUNEDOARA,,4,21764,22517,821,0,3.77%
NAPĂU-STOICA RADU-CĂLIN,PARTIDUL POPORULUI - DAN DIACONESCU,22,HUNEDOARA,,4,21764,22517,3828,0,17.59%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,9,0,0.04%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,12,0,0.06%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,22,HUNEDOARA,,4,21764,22517,32,0,0.15%
